mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
0,12626738,12630287,Utility_FOUR_HOLE_PLATE_4-1-C8,Geometry Group,SP3D Entity,ed66a072-0dc2-581a-aa20-a94ddab48ce3,@a=0028!!140039##299867550534045854,Utility_FOUR_HOLE_PLATE_4-1-C8,Assy_FR_UC_CS_1-1-2,"0.38 in Plate Steel, 8.00 in X 8.00 in 4 eq spaced 0.69 in dia. holes 1.13 in from edges",Assy_FR_UC_CS_1-1-2,13.68 lbm,Working,,E 141 ft  7 in      N 478 ft  10 in      EL+ 10 ft  2 in
1,12726015,12729752,Aspects,Geometry Group,SP3D Entity,f990b11a-0359-504e-811d-704aae1beb8b,@a=0027!!20014##438631865958861055,HorCFJacketedPump01-E-1-0001,TRAINING\A1\U12\Equipment,,,,Working,New,
2,12734280,12738012,Aspects,Geometry Group,SP3D Entity,60cdb8ba-5ef7-5359-92d7-0020b70bfbc4,@a=0027!!20014##438631865958861321,HorizontalDrum01-E-1-0001,TRAINING\A1\U12\Equipment,,,,Working,New,
3,12742603,12746329,Aspects,Geometry Group,SP3D Entity,e82dc9e1-6e6d-5c26-b156-63a8bce096d9,@a=0027!!20014##438631865958859594,PUMP001A-E-1-0001,TRAINING\A1\U12\Equipment,,,,Working,New,
4,12748653,12752379,Aspects,Geometry Group,SP3D Entity,f780e295-cbf0-557e-8490-7030ef7da257,@a=0027!!20014##438631865958859547,PUMP001A-E-1-0002,TRAINING\A1\U12\Equipment,,,,Working,New,
5,12755065,12758776,Aspects,Geometry Group,SP3D Entity,bb0ede02-6553-5cc4-8572-8e405efa9cb6,@a=0027!!20014##299304968652455970,Tank001A-E-1-0001,TRAINING\A1\U12\Equipment,,,,Working,New,
6,12761581,12765309,Aspects,Geometry Group,SP3D Entity,3eef207b-e020-5a06-b845-892f1a458864,@a=0027!!20014##438631865958859625,VerticalDrum01-E-1-0001,TRAINING\A1\U12\Equipment,,,,Working,New,
7,12776660,12781233,Flange-2101,Geometry Group,SP3D Entity,5e320a6e-80e2-52fd-86df-88afd35a2a26,@a=0027!!80005##299304968652456059,Flange-2101,TRAINING\A1\U12\Process\Pipelines\U12-2-MZ-0045-1S3984,,,,Working,New,
8,12785741,12790292,Flange-1706,Geometry Group,SP3D Entity,627c5db9-c057-5e1a-bd9b-b0b4fd9b620e,@a=0027!!80005##438631865958860686,Flange-1706,TRAINING\A1\U12\Process\Pipelines\U12-2-MZ-0046-1S3984,,,,Working,New,
9,12796610,12801185,Flange-1701,Geometry Group,SP3D Entity,e02ff93f-084b-5900-9c1a-d1f7c9f74e9f,@a=0027!!80005##297894392573003809,Flange-1701,TRAINING\A1\U12\Process\Pipelines\U12-2-MZ-0047-1S3984,,,,Working,New,
