mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
0,12626738,12630287,Utility_FOUR_HOLE_PLATE_4-1-C8,Geometry Group,,ed66a072-0dc2-581a-aa20-a94ddab48ce3,,,,,,,,,
1,12726015,12729752,Aspects,Geometry Group,,f990b11a-0359-504e-811d-704aae1beb8b,,,,,,,,,
2,12734280,12738012,Aspects,Geometry Group,,60cdb8ba-5ef7-5359-92d7-0020b70bfbc4,,,,,,,,,
3,12742603,12746329,Aspects,Geometry Group,,e82dc9e1-6e6d-5c26-b156-63a8bce096d9,,,,,,,,,
4,12748653,12752379,Aspects,Geometry Group,,f780e295-cbf0-557e-8490-7030ef7da257,,,,,,,,,
5,12755065,12758776,Aspects,Geometry Group,,bb0ede02-6553-5cc4-8572-8e405efa9cb6,,,,,,,,,
6,12761581,12765309,Aspects,Geometry Group,,3eef207b-e020-5a06-b845-892f1a458864,,,,,,,,,
7,12776660,12781233,Flange-2101,Geometry Group,,5e320a6e-80e2-52fd-86df-88afd35a2a26,,,,,,,,,
8,12785741,12790292,Flange-1706,Geometry Group,,627c5db9-c057-5e1a-bd9b-b0b4fd9b620e,,,,,,,,,
9,12796610,12801185,Flange-1701,Geometry Group,,e02ff93f-084b-5900-9c1a-d1f7c9f74e9f,,,,,,,,,
10,12806779,12811356,Flange-1708,Geometry Group,,4231bdcb-bdc4-5165-b4ec-e416d54f940d,,,,,,,,,
11,12819122,12823679,Flange-1701,Geometry Group,,5015f101-88ff-5f0d-8ef3-9934259352ae,,,,,,,,,
12,12824136,12828716,Flange-1703,Geometry Group,,3877dcdd-5774-516f-915a-fc051233dd49,,,,,,,,,
13,12841981,12846558,Flange-1710,Geometry Group,,2ab46254-d3f8-5b0b-a929-d80080b307fa,,,,,,,,,
14,12852876,12857456,Flange-1702,Geometry Group,,f7a28d29-e54b-5806-a9ff-9380f70e0990,,,,,,,,,
15,12864498,12869073,Flange-1706,Geometry Group,,5b4afeaf-1f80-515e-81ea-8600f71062d9,,,,,,,,,
16,12869530,12874081,Flange-1709,Geometry Group,,6562237b-80dd-53cc-a4a4-e818fc3630b0,,,,,,,,,
17,12877796,12882330,Weldolet-0401,Geometry Group,,48cc2124-e0db-58e2-8716-0ec7cffa70f6,,,,,,,,,
18,12886476,12891047,Flange-1703,Geometry Group,,ccc80253-39fd-5e99-adc8-adf2c9362fc8,,,,,,,,,
19,12942932,12946814,CT-ET--0003-TRAY-0002,Geometry Group,,5b5633c3-8b68-5f1a-919b-78abe6ea8a29,,,,,,,,,
20,12948090,12951972,CT-ET--0003-TRAY-0004,Geometry Group,,9c65fb61-775f-5c3f-9c82-13a030d7022f,,,,,,,,,
21,12953248,12957136,CT-ET--0003-TRAY-0006,Geometry Group,,e71cecf4-1cc2-5ec3-ae1a-92e53e47f46a,,,,,,,,,
22,12958412,12962299,CT-ET--0003-TRAY-0008,Geometry Group,,41a77313-1ba7-5049-955a-ec26dcf73aa2,,,,,,,,,
23,12963575,12967457,CT-ET--0003-TRAY-0010,Geometry Group,,f20e3575-ebe1-58a5-8d1f-a2fff37df5c2,,,,,,,,,
24,12972777,12976663,CT-ET--0004-TRAY-0002,Geometry Group,,6120a3a2-974a-5e8c-92a0-e2178294953c,,,,,,,,,
25,12977939,12981825,CT-ET--0004-TRAY-0004,Geometry Group,,a97b2433-7daf-5fa7-9974-43c0e48788cd,,,,,,,,,
26,12983101,12986993,CT-ET--0004-TRAY-0006,Geometry Group,,24d671e3-dff6-5a5e-ada6-156fb5744cbe,,,,,,,,,
27,12988269,12992160,CT-ET--0004-TRAY-0008,Geometry Group,,dcd2fbbf-ea14-5d66-a971-d77cbfc82d30,,,,,,,,,
28,12993436,12997309,CT-ET--0004-TRAY-0010,Geometry Group,,190746b4-b776-5715-ae09-27f4f7c84678,,,,,,,,,
29,12998585,13002471,CT-ET--0004-TRAY-0012,Geometry Group,,95c6a928-5496-57e6-a6f6-722180c92ea5,,,,,,,,,
